Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240812358 |LOCLPAR2408123|00 55 12.0|-72 03 00|2024-08-12 08:33:22.527|2024-08-12 08:43:36.940|2024-08-12 08:35:35.650|LOCLPAR     |     1.0000|
|bn241016213 |UNCERT24101621|04 57 28.8|-71 57 36|2024-10-16 05:04:20.751|2024-10-16 05:10:45.783|2024-10-16 05:06:32.081|UNCERT      |     1.0000|
|bn240619984 |UNCERT24061998|22 42 43.2|-71 51 00|2024-06-19 23:35:16.763|2024-06-19 23:45:31.177|2024-06-19 23:37:35.310|UNCERT      |     1.0000|
|bn241009802 |LOCLPAR2410098|01 30 02.4|-71 30 00|2024-10-09 19:12:01.070|2024-10-09 19:22:15.483|2024-10-09 19:14:16.241|LOCLPAR     |     1.0000|
|bn240517494 |LOCLPAR2405174|21 36 28.1|-71 17 00|2024-05-17 11:49:35.660|2024-05-17 11:53:00.463|2024-05-17 11:51:50.830|LOCLPAR     |     1.0000|
|bn240831690 |LOCLPAR2408316|15 44 55.9|-70 22 00|2024-08-31 16:31:20.873|2024-08-31 16:41:35.283|2024-08-31 16:33:38.091|LOCLPAR     |     1.0000|
|bn240511921 |LOCLPAR2405119|12 34 40.1|-69 29 00|2024-05-11 22:03:56.185|2024-05-11 22:14:10.597|2024-05-11 22:06:13.403|LOCLPAR     |     1.0000|
|bn240511989 |LOCLPAR2405119|12 34 40.1|-69 29 00|2024-05-11 23:42:29.380|2024-05-11 23:52:35.601|2024-05-11 23:44:40.455|LOCLPAR     |     1.0000|
|bn240519213 |GRB240519213  |19 35 38.4|-69 21 00|2024-05-19 05:04:44.872|2024-05-19 05:08:17.867|2024-05-19 05:06:59.402|GRB         |     1.0000|
|bn241111230 |LOCLPAR2411112|08 31 48.0|-69 07 00|2024-11-11 05:29:32.004|2024-11-11 05:39:38.221|2024-11-11 05:31:43.078|LOCLPAR     |     1.0000|
|bn240807238 |GRB240807238  |20 03 52.1|-68 47 10|2024-08-07 05:40:31.822|2024-08-07 05:50:46.235|2024-08-07 05:42:45.201|GRB         |     1.0000|
|bn240828662 |LOCLPAR2408286|16 26 43.9|-68 21 00|2024-08-28 15:51:09.695|2024-08-28 16:01:24.105|2024-08-28 15:53:22.305|LOCLPAR     |     1.0000|
|bn240517739 |TGF240517739  |04 13 04.0|-68 18 00|2024-05-17 17:41:14.926|2024-05-17 17:47:31.765|2024-05-17 17:43:32.769|TGF         |     1.0000|
|bn240829716 |LOCLPAR2408297|15 56 24.0|-68 17 00|2024-08-29 17:09:04.195|2024-08-29 17:19:18.604|2024-08-29 17:11:21.413|LOCLPAR     |     1.0000|
|bn240222369 |GRB240222369  |09 32 59.5|-68 01 44|2024-02-22 08:49:14.504|2024-02-22 08:59:28.917|2024-02-22 08:51:31.467|GRB         |     1.0000|
|bn241002219 |UNRELOC2410022|16 51 28.0|-68 00 00|2024-10-02 05:13:06.522|2024-10-02 05:23:20.932|2024-10-02 05:15:21.148|UNCERT      |     1.0000|
|bn240511339 |LOCLPAR2405113|18 33 07.9|-68 00 00|2024-05-11 08:05:48.333|2024-05-11 08:16:02.747|2024-05-11 08:08:01.456|LOCLPAR     |     1.0000|
|bn240818933 |LOCLPAR2408189|21 10 12.0|-67 58 00|2024-08-18 22:20:49.215|2024-08-18 22:30:55.433|2024-08-18 22:23:00.289|LOCLPAR     |     1.0000|
|bn240907007 |TGF240907007  |00 28 20.0|-67 49 00|2024-09-07 00:08:04.784|2024-09-07 00:18:19.193|2024-09-07 00:10:17.010|TGF         |     1.0000|
|bn240422112 |GRB240422112  |17 02 26.4|-67 25 48|2024-04-22 02:39:37.546|2024-04-22 02:48:54.611|2024-04-22 02:40:59.467|GRB         |     0.9725|
|bn240820080 |LOCLPAR2408200|21 01 43.9|-67 13 00|2024-08-20 01:52:21.832|2024-08-20 01:57:24.941|2024-08-20 01:54:40.074|LOCLPAR     |     1.0000|
|bn240814985 |LOCLPAR2408149|22 31 31.9|-66 11 00|2024-08-14 23:36:28.276|2024-08-14 23:46:42.687|2024-08-14 23:38:47.415|LOCLPAR     |     1.0000|
|bn240613991 |GRB240613991  |17 28 43.2|-66 08 24|2024-06-13 23:44:19.820|2024-06-13 23:54:34.232|2024-06-13 23:46:33.967|GRB         |     0.9451|
|bn241212653 |UNCERT24121265|01 19 56.0|-66 07 00|2024-12-12 15:38:42.064|2024-12-12 15:48:56.475|2024-12-12 15:41:00.802|UNCERT      |     1.0000|
|bn240502886 |UNCERT24050288|04 05 28.0|-66 04 00|2024-05-02 21:14:16.670|2024-05-02 21:23:50.122|2024-05-02 21:16:31.841|UNCERT      |     1.0000|
